Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Ground,Summary
06/08/1944,,"Kunming, China",China National Aviation Corporation,,Dijan - Kunming,Douglas C-47,85,,6.0,0.0,"The plane discintigrated in mid-aid. The jack pad had been removed from the right wing root. This left 4 large holes directly under the fuel tanks and directly in line with the exhaust. When the throttles were cut to descend, the flame only went as far back as the holes. There the flames went up around the fuel tank, igniting the fumes and blew the wing off."
10/24/1999,10:15,"Off Genova, Italy",Avioriprese Jet Executive,,Napoli - Genoa,Learjet 35A,I-AVJG,35-189,3.0,0.0,"Crashed on approach in low clouds, rain and low visibility."
08/02/2000,08:45,"Cubatao, Brazil",Air taxi - Lider Air Taxi,,Cubatao - Navegantes,Sikorsky S-76,PT-HRD,,6.0,0.0,"The helicopter exploded and crashed from a height of 1,000 ft."
11/02/1966,09:06,"Heflin, Alabama",Gastonia Aviation - Taxi,,,Beech D18S,N411Z,,2.0,0.0,Crashed after flying in icing conditions. Undetermined cause.
12/25/2002,01:00,"Off Manteo, North Carolina",Telford Aviation,,Elizabeth City - Manteo,Cessna 208B Caravan I,N1122Y,208B-0392,1.0,0.0,"On a positioning flight, while on approach, the plane crashed into Croatan Sound. The pilot's continued descent below the minimum descent altitude, for undetermined reasons, while performing a NDB approach, resulting in the airplane crashing into water 1.5 miles from the airport. A factor in the accident was a cloud ceiling below the minimum descent altitude and low visibility."
07/03/1926,,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7.0,0.0,Crashed while en route.
10/08/1951,,"Cerro Blanco, Mexico",Aero Transportes,,Mexico City - Villahermossa,Douglas DC-3,XA-GOR,14007/25452,8.0,0.0,Flew into a mountain.
01/31/1989,12:10,"Near Abilene, Texas",Military - U.S. Air Force,,,Boeing KC-135A,63-7990,18607,19.0,0.0,Crashed in flames after taking off from Dyess Air Force Base. Failure of the water injection system during takeoff.
05/01/1942,23:00,"Salt Lake City, Utah",United Air Lines,4,San Francisco - New York City,Douglas DST-A-207A,NC18146,1978,17.0,0.0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined."
05/31/1977,15:48,"Houma, Louisiana",Intracostals - Air Taxi,,"Houma, LA - Return",Cessna 185,N3345L,,3.0,0.0,The float plane making an approach over a canal for landing collided with a bridge in rain and hail. Continued VFR flight into adverse weather conditions.
02/16/2000,19:50,"Sacramento, California",Emery Worldwide,17,"Sacramento, CA - Dayton, OH",McDonnell Douglas DC-8-71F,N8079U,45947/341,3.0,0.0,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.
02/04/1962,10:05,"Near Tino Maria, Peru",Faucett,,Huanuco - Pucallpa,Douglas DC-3,OB-PBH-530,7331,18.0,0.0,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight."
06/04/1964,21:00,"Mason, Texas",Commercial Air Taxi,,,Piper PA-24,N5420P,,3.0,0.0,Continued VFR flight into IFR conditions. Pilot error. Exercised poor judgement.
07/09/1934,,"San Bernardino, California",United Air Services,,San Bernardion - Los Angeles,Lockheed Vega,NC32E,,4.0,0.0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.
12/22/1956,17:20,"Mt. Giner, Italy",Linee Aeree Italiane,,Rome - Milan,Douglas DC-3,I-LINC,9101,21.0,0.0,The aircraft strayed off the assigned airway and hit a mountain. The pilot did not follow the airways assigned in the flight plan. He did not check his direction and position along the new route.
01/05/1975,10:07,"Palmer, Washington",Richland Flying Service - Air Taxii,,"Richland, WA  - Seattle, WA",Cessna TU206D,N71972,,4.0,0.0,Unable to maintain altitude and crashed into trees. Icing conditons. Airfame icing.
06/16/1936,,"Mt. Lihesten, Norway",Den Norske Luftfartskole,,Bergen - Trondheim,Junkers JU-52/3m,LN-DAE,4077,7.0,0.0,Crashed into the side of a mountain in fog.
11/01/1961,14:26,"Les Prevosts, Guernsey",Bristol 170 Freighter 31M,,Cherboug - Les Prevosts,Silver City Airways,G-ANWL,13260,10.0,0.0,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatipitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.
12/20/1962,,"Kadena AB, Okinawa",Military - U.S. Air Force,,,KB-50,,,12.0,,"Twelve killed, including civilians. Two civilian houses burnt."
08/27/1990,01:00,"Elkhorn, Wisconsin",Private - Omniflight Helicopters,-,"Elkhorn, WI - Chicago, IL",Bell BHT-206-B Helicopter,N16933,023338,5.0,0.0,"Four helicopters were being used to night transport a concert group. The helicopter in question remained at a lower altitude and crashed into terrain soon after taking off into fog. Blues guitarist Stevie Ray Vaughan, 35 was killed. Failure of the pilot to attain adequate altitude before flying over rising terrain. Factors related to the accident were: darkness, fog, haze, rising terrain, and the lack of visual cues that were available to the pilot."
01/27/2005,08:10,"Lasi, Hungary",Farnair Hungary,,Bucharest -Lasi,Let 410UVP-E4,HA-LAR,871923,2.0,0.0,The cargo plane was attempting to land in a snowstorm when it turned left and descended until it crashed a mile from the airport.
01/10/1968,14:00,"Near Copper Canyon, Nevada",Military - U.S. Marine Corps,,Buckley ANGB - Seattle NAS,Douglas C-54P,50850,10427,19.0,0.0,"The aircraft hit Mt. Tobin 300 ft. below the peak and slid 1,000 ft. down the side of the mountain. Turbulent conditions caused the uncontrolled descent. The pilot was not qualified for the type of aircraft and should not have continued the flight."
04/25/1967,19:05,"Off Nantucket, Massachusetts",Military - U.S. Air Force,-,Otis AFB,EC-121H (Super Constellation),53-0549,4364,15.0,0.0,"Shortly after taking off from Otis AFB, the aircraft experienced a fire in the No. 3 engine and attempted to return to the air base, but crashed in a fireball one mile south of Nantucket."
12/03/1922,,"Fez, Morocco",Grands Express Aeriens,,,Breguet 14,,,1.0,0.0,
04/30/1990,,"Tarbert, England",Military - Royal Air Force,,,Avro Shackleton AEW-2,WR965,,10.0,0.0,Crashed into a mountain in poor weather while en route.
09/04/1928,,"Adelaide Hills, Australia",Qantas,,,de Havilland DH.50J,G-AUHI,,2.0,0.0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire."
10/01/1916,23:45,"Potters Bar, England",Military - German Navy,,,Zeppelin L-31 (airship),,,19.0,0.0,Shot down in flames by the British 39th Home Defence Squadron.
06/03/1941,17:00,AtlantiOcean,Great Western and Southern Air Lines,,,de Havilland DH-84 Dragon,G-ACPY,6076,6.0,0.0,Shot down by a He-111 German military aircraft.
09/10/1998,,"Islamabad, Pakistan",Military - Pakistan Air Force,,,Lockheed C-130B Hercules,24143,3781,5.0,0.0,The aircraft was returning to a ramp with it's brakes on fire when it struck another aircraft and caught fire.
09/23/1950,,"Karlstad, Sweden",Svenska Aero,,Karlstad - Stockholm,Avro Ninteen I,SE-BRS,1321,10.0,0.0,"Reached an altitude of 200 feet, stalled and crashed to the ground."
03/16/1978,,"Vrastsa, Bulgaria",Balkan Bulgarian Airlines,,Sofia - Warszawa,Tupolev TU-134,LZ-TUB,8350501,73.0,0.0,Crashed shortly after takeoff. An undetermined emergency of some kind occurred during the climb after takeoff resulting in loss of control of the aircraft.
11/01/1958,02:01,"Nipe Bay, Cuba",Cubana de Aviacion,495,Miami - Varadero,Vickers Viscount 755D,CU-T603,091,20.0,0.0,"Hijacked by 4 Cuban rebels, the plane crashed after running out of fuel while attempting to land at Preston Airport."
06/12/1961,04:11,"Cairo, Egypt",KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36.0,0.0,"Crashed into power lines during the approach, 4 km short of the runway. Crew's neglect to cockpit duties."
08/29/1952,21:05,"Kosti, Sudan",Phoenix Airlines,,Juba - Wadi Halfa,Douglas DC-2-115B,ZS-DFW,1322,4.0,0.0,Extremely bad weather forced the captain of the cargo plane to divert from his original destination. No proper preparation had been made for a possible landing at an alternate airfield prior to commencement of flight. The secondary cause was due to the Captain's attempt to execute a landing at Kosti aerodrome which was not equipped with night landing facilities. The Captain landed on the runway but was unable to align himself with the center line and in consequence ran off the runway and struck a steel windsock support and thereafter struck various obstructions such as trees which lay in the path.
09/03/1990,15:20,"Kaltag, Alaska",Frontier Flying Service,,"Nulato, AK - Kaltag, AK",Piper PA-31-325 Navajo,N59783,317612024,10.0,0.0,Crashed after loosing the No. 2 engine.Failure of the pilot to maintain adequate altitude after becoming distracted with an engine problem. Loss of power in the No. 2 engine for unknown reasons.
04/06/1944,15:48,"Near Nome, Alaska",Pan American World Airways,,Nome - Fairbanks,Pilgrim 100B,NC742N,,6.0,0.0,Crashed shortly after takeoff in a snow storm. Failure of the pilot to recognize his proximity to the ground due to heavy snow which entirely covered the terrain.
09/17/1932,,"Selsdon Park, England",Air Union,,,Liore-et-Olivier 213,F-AIFE,,2.0,0.0,
07/25/1969,17:45,"Kekaha, Hawaii",Trans Isle Air,,Kalaupapa - Lihue,De Havilland DH-104 Dove,N88G,826,13.0,0.0,The sightseeing flight collided with trees after experiencing an engine failure. Failure of valve assembly. Pilot-in-command exercised poor judgment. Unwarranted low flying.
03/10/1946,20:55,"Off Hobart, Tasmania",Australian National Airways,,Hobart - Melbourne,Douglas DC-3 (C-47DL),VH-AET,6013,25.0,0.0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.
02/28/1984,19:30,"Near Borja, Spain",Military - U.S. Air Force,,,Lockheed C-130E,68-10944,4324,18.0,0.0,Struck the face of a mountain as it made a low-level suppy drop during a training mission.
09/15/1946,,"Estevan, Saskatchewan, Canada",Military - Royal Canadian Air Force,,,Douglas C-47A Dakota,962,12544,21.0,0.0,The pilot lost control of the aircraft after attempting a go-around maneuver.
11/08/1940,,"Brauna, Germany",Deutsche Lufthansa,,,Junkers JU-90,D-AVMF,10,29.0,0.0,Icing.
05/07/1981,10:53,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),901,Tucuman - Buenos Aires,BAC One-Eleven 529FR,LV-LOX,212,31.0,0.0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.
11/18/2006,21:00,"Near Leticia, Colombia",Aerosucre Colombia,,Bogota - Leticia,Boeing 727-23F,HK-3667X,19430/366,5.0,0.0,The cargo plane was on final approach when it hit a antenna tower and crashed. Fog and poor visibility prevailed at the time of the accident.
09/05/1999,10:30,"Near Kathmandu, Nepal",Necon Air,128,Pokhara - Kathmandu,Hawker Siddeley HS-748-501 Super 2B,9N-AEG,1806,15.0,0.0,"While on approach to Tribhuvan International Airport, the aircraft struck a telecommunication tower with its left wing and crashed onto slopes of a wooded area, 6 miles southwest of the airport."
07/13/2003,12:15,"Near San Cristobal, Venezuela",Ruiban & Duran Compania Aérea,,La Carlota - San Cristobal,Let 410UVP-E,YV-1060CP,902505,10.0,0.0,Crashed atop a hill in Chorro del Indio National Park during a descent to San Cristobal.
12/30/1945,21:13,"New York City, New York",Eastern Air Lines,14,Philadelphia - New York City,Douglas DC-3,NC18l23,1999,12.0,0.0,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast."
11/12/1965,14:15,"Maui, Hawaii",Skyway Air  - Taxi,,,Beechcraft C-45H,N9915Z,,2.0,0.0,The plane missed the approach and crashed. Disoriented in IFR flight for reasons unknown.
02/15/1947,12:18,"Near Bogota, Colombia",AVIANCA,,Barranquilla - Bogota,Douglas DC-4,C-114,10439,53.0,0.0,"The plane crashed into Mt. El Tabalazo at 10,500 feet in fog while en route."
11/30/1954,11:15,"Berlin, New Hampshire",Northeast Airlines,792,"Laconia, NH - Berlin, NH",Douglas DC-3,N17891,11745,7.0,0.0,The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.
08/07/1989,12:10,"Near Gambela, Ethiopia",RRC Air Service,,Addis Ababa - Bole,de Havilland DHC-6 Twin Otter 300,ET-AIL,699,16.0,0.0,"The aircraft took off from Addis Ababa to see how much food was reaching the famine-stricken area of western Ethiopia.  The plane crashed into a mountain in poor weather conditons at an altitude of  3,600 feet.  The crew flew into an area of bad weather at a very low altitude and failed to maintain visual contact with the ground.  U.S. Representative George Thomas 'Mickey' Leland, 45, killed."
12/07/1980,16:47,"Michigan City, IN",Queen Airmotive - Air Taxi,,"Chicago, IL - Michigan City, IL",Beechcraft B90,N2181L,LW-181,4.0,0.0,Crashed on final approach and came to rest in water. Elevator assembly detached due to missing bolt.
01/27/1990,17:35,"Near Kinkala, Congo",Military - Congolese Air Force,,Pointe-Noire - Brazzaville,Nord 262C-66,TN-230,103,28.0,0.0,Rain and high winds caused the aircraft to crash 50 miles from it's destination of Brazzaville.
06/29/1946,,Off Malaya,Military - Royal Air Force,,,Douglas C-47B,KJ918,14641/26086,18.0,0.0,Disappeared.
08/03/1936,,Mexico,Mexicana,,,Lockheed Orion,XA-BAY,,1.0,0.0,
10/25/1999,11:20,"Aberdeen, South Dakota",Private charter,,"Orlando, FL - Dallas, TX",Gates Learjet 35,N47BA,060,6.0,0.0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons."
09/08/1932,c:09:00,"Salt Flats, Texas",American Airways,,El Paso - Dallas,Fokker F-10,NC9716,,4.0,0.0,The mail plane struck a mountain and burned encountering poor weather conditions.
10/03/1946,03:30,"Stephenville, Newfoundland",American Overseas Airlines,,Gander - Shannon,Douglas C-54E-5-DO,NC90904,27290,39.0,0.0,Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named 'Flagship New England.'  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained.
04/07/1958,09:00,"Mt. Illiniza, Ecuador",AREA,222,Guayaquil - Quito,Douglas DC-3,HC-ACL,19779,32.0,0.0,Flew into a mountain 15 minutes after leaving Guayaquil. Procedural error. The pilot did not maintain IFR until clear of the cloud cover.
10/17/1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30.0,0.0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
12/15/1986,,"Near Lanzhou, China",CAAC,,Lanzhou - Chengdu,Antonov AN-24RV,B-3413,37308907,44.0,0.0,"The No. 2 engine failed due to severe icing conditions 30 minutes after leaving Lanzhou. With the prop feathered, the plane crashed before reaching the airport."
12/14/1932,,"Rocky Ridge, Colorado",Boeing Air Transport,,,Boeing 40,NC842M,,1.0,0.0,
07/22/1973,22:07,"Off Papeete, Tahiti",Pan American World Airways,816,"Auckland, NZ - Papeete, Tahiti - Honolulu - Los Angeles",Boeing B-707-321B,N417PA,18959,79.0,0.0,The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named 'Clipper Winged Racer.'
06/22/1951,03:25,"Near Sanoyea, Liberia",Pan American World Airways,151,Johannesburg - Accra - Monrovia - New York,Lockheed 049 Constellation,N88846,2046,40.0,0.0,"The plane crashed into a hill at 1000 ft. in a level descending attitude, 54 miles from the airport. The pilot descended below en route minimum altitude without knowing the aircraft's position. The aircraft was named Clipper Great Republic."
02/24/1956,,"Near Aleppo, Syria",Syrian Airways,,,Douglas DC-3,YK-AAE,14918/2636,19.0,0.0,Crashed shortly after taking off 15 miles from Damascus.  Double engine failure during a thunderstorm.
07/04/1999,12:05,"Villavicencio, Colombia",LANC Colombia,,Villavicencio - Mitu,Douglas DC-6A,HK-1776,45499/1011,18.0,0.0,The aircraft developed engine trouble shortly after taking off and returned to the airport. The plane made a steep descent and struck an embankment of the Guatiquia River.
07/11/1960,11:45,"Near Quito, Ecuador",Military - U.S. Air Force,,Bogota - Quito,Douglas C-47B-DK,45-1109A,34379,18.0,0.0,Crashed and burned on Mt. Pichincha as it prepared to land at Quito.
09/29/1955,,"Yellowknife, Northwest Territory, Canada",Associated Airways,,,Avro 685 York C-1,CF-HMV,,2.0,0.0,The cargo plane ditched into the Thoa river. Fuel exhaustion.
01/13/2005,22:18,"Keene, New Hampshire",AirNow,,"Bangor, ME - Concord, NH",Embraer EMB-110 Bandeirante,N49BA,110301,1.0,0.0,"The cargo plane diverted to Keene due to poor weather. During the final approach at night, the plane hit the ground short of Runway 02 and was destroyed."
11/13/2008,11:35,"Fallujah, Iraq",Falcon Aviation Group,,al-Asad air base - Baghdad,Antonov An-12,S9-SAO,346908,7.0,0.0,"The cargo plane, chartered by FedEx, crashed west of Baghdad, shortly after taking off from al Asad air base and after the crew reported a malfunction with the plane."
07/01/1999,,"Luzamba, Angola",Savanair,,Huambo - Luanda,Antonov 12B,TN-AFR,8345502,5.0,0.0,The cargo plane was shot down by UNITA rebels.
11/10/1993,18:05,"Sandy Lake, Canada",Air Manitoba,205,Winnipeg - Sandy Lake,Hawker Siddeley HS-748-234 Srs. 2A,C-GQTH,1617,7.0,0.0,"The aircraft took off and made a low right turn, struck trees and crashed. The crew most likely lost situational awareness and as a result did not detect the increasing deviation from their intended flight path. Contributing factor was the loss of AC power to some of the flight instruments the reason for which could not be determined."
02/21/1982,15:33,"Providence, Rhode Island",Pilgrim Airlines,458,New York City - Bridgeport - New Haven - Groton - Boston,de Havilland DHC -6-100,N127PM,105,12.0,0.0,The aircraft made an emergency landing near a reservoir after a fire erupted in the cockpit while the aircraft was en-route under IFR conditions. The fire spread to the cabin and destroyed the aircraft after impact.  The deficient design of the isopropyl alcohol windshield washer/deicer system and the inadequate maintenance of the system which resulted in an in-flight fire. The ignition source was not determined.
09/02/1983,,"Smithers, British Columbia, Canada",Central Mountain Air Services,,,Britten-Norman BN-2A-21 Islander,C-GIPF,0274,9.0,0.0,
03/17/1929,,"Newark, New Jersey",Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15.0,0.0,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.
10/30/1997,,"Near La Roche, Alberta, Canada",,,Fort MMurray - La Loche,Cessna 206 Seneca,C-GPRL,,6.0,0.0,Crashed while en route. The pilot continued flight into adverse weather and lighting conditions which did not enable him to avoid collision with terrain. Contributing factors to this occurrence were the aircraft's unserviceability for single pilot IFR flight and the lack of guidance to company pilots as to weather limits for night VFR flight.
09/03/1991,,"Long Seridan, Malaysia",Airtech Rajawaldi Udara,,Bario - Marudi,Shorts SC-7 Skyvan 3-100,9M-AZB,SH-1975,20.0,0.0,Crashed into the jungle after double engine failure. Both engines didn't develop full power and were feathered on impact.
02/04/1969,,Off  Taiwan,Military - U.S. Air Force,,,Lockheed HC-130H Hercules,65-0990,4151,13.0,0.0,Ditched in the Pacific.
04/01/2009,14:00,"Off Crimond, Scotland",Bond Offshore Helicopters,,Miller field - Aberdeen,Eurocopter AS 332L2 Super Puma 2,,,16.0,0.0,The helicopter crashed 35 miles East of Crimond in the North Sea while transporting oil workers. A mayday was received prior to the crash. Catastrophifailure of the main rotor gearbox.
10/02/1920,,"Off Port Vendres, France",Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2.0,0.0,
11/17/1950,,"Surabaya, Indonesia",Garuda Indonesia Airlines,,,Douglas DC-3,PK-DPB,19005,23.0,0.0,Veered off the runway and crashed into a ditch..
10/07/1992,09:30,"Berkeley Springs, West Virginia",Miltiary - U.S. Airforce,,Training,Lockheed C-130E Hercules,63-7881,3952,6.0,0.0,Struck power lines and crashed.
10/20/1948,23:32,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,,Amsterdam - Prestwick - New York City,Lockheed 049-46-25 Constellation,PH-TEN,2083,40.0,0.0,"The aircraft was on a flight from Amsterdam to New York with a stopover at Prestwick Scotland. The aircraft attempted to land on Runway 32 but the crew choose to go-around due to strong cross winds and asked to land on Runway 26.  While circling to line up with the runway, the aircraft ran into a heavy fog bank and crashed into high voltage power lines at an elevation of 400 feet and burst into flames. The crashed occurred 5 miles east-northeast of the airport. Improper flight procedures by the crew. Lack of information supplied to the crew by the tower. The aircraft was named Nijmegen after the old Dutch town close to the West German border."
09/05/1961,,"Near Sendafar, Ethiopia",Ethiopian Airlines,,Addis Ababa - Asmara,Douglas DC-3,ET-T-16,13305,19.0,0.0,Malfunctioning propeller. The pilot tried to turn back for an emergency landing but crashed.
10/06/1936,,Mexico,Mexicana,,,Lockheed Orion,XA-BDH,,1.0,0.0,
12/28/1989,,"Near Visina, Romania",Tarom,,Bicharest - Beogard,Antonov An-24RV,YR-BMJ,77310801,7.0,0.0,Crashed in poor weather conditions. Rumors suggest the plane was shot down.
01/07/1953,04:12,"Fish Haven, Idaho",Associated Air Transport,1-6-6A,Boeing Field - Cheyenne,Curtiss C-46,N1648M,22395,40.0,0.0,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."
11/05/1976,,AtlantiOcean,Inair Panama,,Curacao - Port-au-Prince,Douglas DC-3,HP-671,,2.0,0.0,Went missing between Curacao - Port-au-Prince.
05/04/1972,,"Bratsk, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87778,9040314,18.0,0.0,Crashed on approach. Windshear.
08/23/2000,19:30,"Off Manama, Bahrain",Gulf Air,072,Cairo - Manama,Airbus A320-212,A4O-EK,0481,143.0,0.0,"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a 'spatial disorientation' to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude."
05/06/1974,22:22,"Nurnberg, Germany",Fragtflug,,Nice - Nurnberg,Douglas DC-6A,TF-OAE,44069/396,3.0,0.0,The cargo plane struck trees and crashed while on final approach. Icing. Pilot blood alcohol above normal.
06/21/1977,22:30,Off Wake Island,Military - U.S. Navy,,,Lockheed EC-130Q,156176,4280,16.0,0.0,Crashed into the PacifiOcean and exploded moments after taking off from Wake Island Air Base. The plane rose no higher than 400 ft. before crashing one mile from the end of the runway.
12/10/1988,20:00,Afghanistan,Military - Afghan Republican Air Force,,Kabul - Khowst,Antonov AN-32,,,25.0,0.0,Shot down by a Pakistani jet fighter while en route.
01/02/1988,19:20,"Izmir, Turkey",Condor Flugdienst,3780,Stuttgart - Izmir,Boeing B-737-230A,D-ABHD,22635/774,16.0,0.0,The aircraft was off the ILS sidebeam and crashed into a hill on approach in poor weather. The crew used the wrong VOR and ILS. Pilot overconfidence and co-pilot inactivity during the approach.
09/17/1908,17:18,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2.0,0.0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
09/14/1953,,"Chablekal, Mexico",Transportes Aéreos Mexicanos,,Campeche - Mérida,Douglas C-47A,XA-GIC,13113,2.0,0.0,The cargo plane struck a tower in fog while attempting to land.
04/12/1988,20:09,"Near Hennenman, South Africa",United Airways,,Bloemfontein - Johannesburg,Douglas DC-3C,ZS-UAS,6154,24.0,0.0,The plane crashed after fire broke out at FL90 and an emergency descent was made. A leak at the right booster pump was the source of the fire.
06/18/1988,,Central Mozambique,Military - Mozambique Air Force,,,Mil Mi-8 (helicopter),,,25.0,0.0,
08/26/1993,,"Near Aldan, Russia",Sakha Airlines,,,Let 410UVP-E,RA-67656,902509,24.0,0.0,A sudden pitch-up during approach led the crew to go-around.  The pitch-up continued until the plane stalled and crashed.  Improperly loaded baggage shifted the center of gravity beyond the acceptable limit.
03/27/1943,05:15,"Archerfield Aerodrome, Queensland, Australia",Military - Royal Australian Air Force,,,Douglas C-47-DL,A65-2,6149,24.0,0.0,"The aircraft, taking off in darkness and poor visibility, crashed in heavy timber and caught fire."
09/18/1982,,"Two Bridge Lake, British Colombia, Canada",Central Mountain Air Services,,,de Havilland Canada DHC-3 Otter,C-FDJA,459,5.0,0.0,
01/04/2002,12:07,"Birmingham, England",Agco Corp,,"Birmingham, England - Bangor, MA",Canadair CL-604,N90AG,5414,5.0,0.0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors."
10/20/1965,10:33,"Near Manila, Philippines",Philippine Air Lines,741,Manila - Tacloban,Douglas DC-3,PI-C-144,13403,37.0,0.0,The aircraft veered to the left after taking off. The pilot lost control and crashed. Failure of the pilot to set the rudder trim tab to the proper position before takeoff and during the flight. Undetected deflection of the rudder trim tab.
11/07/1991,,"Makhackala, Russia",Aeroflot,,Ellsta - Makhackala,Yakovlev YAK-40,CCCP-87526,9520841,51.0,0.0,Crashed into a mountain during daytime in poor weather. Failure of the crew to follow the correct approach path.
07/26/1994,,"East Kalimantan, Indonesia",Airfast Services,,Kilo Lima - Kelawit,Sikorsky S-58ET,PK-OBT,58-1098,18.0,0.0,Crashed 5 minutes after taking off from Kilo Lima.
07/07/2008,03:50,"Near Bogota, Colombia",Centurian Air Cargo,,"Bogota, Colombia - Miami, FL",Boeing B-747-209BSF,N714CK,22446/519,8.0,3.0,"The cargo plane carrying a load of flowers had taken off from Bogota when the crew radioed that they had an engine fire. They attempted to return to the airport, but crashed in a field and destroyed a farm house killing three people inside."
12/24/1966,09:56,"Cascubel River, Colombia",AVIANCA,729,Bogota - Cali,Douglas C-47A-80-DL,HK-161,19630,29.0,0.0,"Crashed into the southern slopes of Tajumbina Peak at 11,600 ft. while approaching Cali. Lack of cockpit discipline. Consuming alcohol shortly before the flight. Not following the recommended route. Incorrectly reported positions. Continuing VFR in IFR conditions. Flying below minimum safe altitude for a VFR approach."
